year,Infant,Children,Youth,Adult,Elderly,Sum Prediction,Total_Populations,Province,DependencyRatio
2027,18768.617257959668,143333.38377628566,117933.07559047741,659178.2867407806,220243.47302514323,1159456.8363906464,1314872.4394630783,เชียงราย,0.49200860081673436
2028,16954.488487394374,141852.35445734093,114252.86234242734,655343.3532758383,230013.353657279,1158416.41222028,1317917.8943277032,เชียงราย,0.5052262325505983
2029,15140.359716829074,140371.32513839618,110572.64909437727,651508.419810896,239783.23428941474,1157375.9880499134,1320963.3491923278,เชียงราย,0.5187045516200522
2030,13326.230946263777,138890.29581945145,106892.43584632718,647673.4863459538,249553.1149215505,1156335.5638795467,1324008.8040569525,เชียงราย,0.5324513470207914
2031,11512.10217569848,137409.2665005067,103212.22259827709,643838.5528810115,259322.99555368625,1155295.13970918,1327054.2589215771,เชียงราย,0.54647472117002
2032,9697.973405133183,135928.23718156197,99532.00935022702,640003.6194160692,269092.876185822,1154254.7155388135,1330099.713786202,เชียงราย,0.560783105831368
2033,7883.844634567886,134447.20786261722,95851.79610217694,636168.685951127,278862.75681795774,1153214.2913684468,1333145.1686508267,เชียงราย,0.5753852790207481
2034,6069.715864002588,132966.1785436725,92171.58285412687,632333.7524861847,288632.6374500935,1152173.8671980803,1336190.6235154513,เชียงราย,0.5902903829643794
2035,4255.587093437291,131485.14922472773,88491.36960607678,628498.8190212424,298402.5180822293,1151133.4430277136,1339236.078380076,เชียงราย,0.6055079431861731
2036,2441.458322871993,130004.119905783,84811.15635802671,624663.8855563002,308172.39871436503,1150093.0188573468,1342281.5332447009,เชียงราย,0.6210478888082256
2037,627.3295523066954,128523.09058683825,81130.94310997662,620828.9520913579,317942.27934650076,1149052.5946869804,1345326.9881093255,เชียงราย,0.6369205741553249
2038,0.0,127042.06126789351,77450.72986192655,616994.0186264156,327712.15997863654,1148012.1705166136,1348372.4429739502,เชียงราย,0.6548457918883148
2039,0.0,125561.03194894877,73770.51661387648,613159.0851614734,337482.0406107723,1146971.746346247,1351417.8978385748,เชียงราย,0.6740764575627539
2040,0.0,124080.00263000402,70090.30336582639,609324.1516965311,347251.92124290805,1145931.3221758804,1354463.3527031997,เชียงราย,0.6937325521424955
2041,0.0,122598.9733110593,66410.09011777632,605489.2182315888,357021.8018750438,1144890.8980055137,1357508.8075678244,เชียงราย,0.7138283508050828
2042,0.0,121117.94399211454,62729.87686972623,601654.2847666466,366791.68250717956,1143850.473835147,1360554.262432449,เชียงราย,0.7343787746197571
2043,0.0,119636.9146731698,59049.663621676154,597819.3513017043,376561.56313931535,1142810.0496647805,1363599.7172970737,เชียงราย,0.7553994274952419
2044,0.0,118155.88535422506,55369.45037362608,593984.417836762,386331.4437714511,1141769.6254944138,1366645.1721616986,เชียงราย,0.776906635693166
2045,0.0,116674.85603528032,51689.23712557599,590149.4843718198,396101.3244035868,1140729.201324047,1369690.6270263232,เชียงราย,0.7989174901174105
2046,0.0,115193.82671633558,48009.02387752592,586314.5509068775,405871.2050357226,1139688.7771536806,1372736.081890948,เชียงราย,0.8214498916095937
2047,0.0,113712.79739739084,44328.81062947585,582479.6174419352,415641.08566785837,1138648.352983314,1375781.5367555725,เชียงราย,0.844522599502987
2048,0.0,112231.7680784461,40648.59738142576,578644.683976993,425410.9662999941,1137607.9288129474,1378826.9916201974,เชียงราย,0.8681552837116556
2049,0.0,110750.73875950136,36968.384133375686,574809.7505120507,435180.8469321298,1136567.5046425806,1381872.446484822,เชียงราย,0.8923685806588062
2050,0.0,109269.70944055662,33288.17088532561,570974.8170471084,444950.7275642656,1135527.0804722141,1384917.9013494467,เชียงราย,0.9171841533785825
2013,10137.373649848909,42091.0,39478.12672658201,115018.65369592959,18181.173520908837,224906.32759326935,250430.60921821455,แม่ฮ่องสอน,0.45573472132043497
2014,9921.919912305884,42277.169725,39108.88110474158,116592.3791293145,18652.366090253254,226552.71596161523,250632.2757747392,แม่ฮ่องสอน,0.4550474133674481
2015,9706.466177630644,41905.73289163188,38610.90375939462,118179.09716139558,19340.903200197547,227743.1031902503,252073.19964401238,แม่ฮ่องสอน,0.4525358878293862
2016,9491.012442753548,41718.08012642718,37923.3437558937,120029.86225331164,20032.122866497106,229194.4214448832,277307.99108293024,แม่ฮ่องสอน,0.45102734686832485
2017,9275.558706467604,41669.94928543509,37930.069574066176,121826.30955948208,20689.161075040207,231391.04820049115,280630.27772537904,แม่ฮ่องสอน,0.44839942827609997
2018,9060.104969607275,43015.31226491726,39180.87888869501,123306.2281339981,21940.775677145833,236503.2999343635,283771.69629579334,แม่ฮ่องสอน,0.45552040569799296
2019,8844.651234884574,44204.33220473997,39326.17282425288,125258.7747758207,23109.063119207334,240742.99415890547,287177.2721722061,แม่ฮ่องสอน,0.4627278962587088
2020,8629.197497486424,42830.604788441386,38319.35056369247,126789.12081078933,24018.434434965806,240586.70809537542,288713.60851443466,แม่ฮ่องสอน,0.4571433318506218
2021,8413.743761540449,41890.59852068321,38122.42412285355,128453.37143366212,24698.143922317082,241578.2817610564,288999.7625302502,แม่ฮ่องสอน,0.4502604112077854
2022,8198.290026599612,41287.350738905014,37328.47924664666,129857.2305366963,25333.61356895668,242004.96411780425,290169.47709531325,แม่ฮ่องสอน,0.4475218272627491
2023,7982.836289996607,40497.4298097117,36565.34493268839,131076.96192208785,26149.902241648066,242272.4751961326,290904.387486923,แม่ฮ่องสอน,0.44517502617049026
2024,7767.382554008871,39805.36786572887,35918.22019450625,132645.61527251243,26939.73152756347,243076.3174143199,294837.45415697683,แม่ฮ่องสอน,0.44204310931142987
2025,7551.928818021135,39113.30592174603,35271.0954563241,134214.268622937,27729.56081347887,243880.15963250713,298770.5208270306,แม่ฮ่องสอน,0.43894525027219905
2026,7336.475082033398,38421.2439777632,34623.97071814196,135782.9219733616,28519.390099394273,244684.00185069445,302703.58749708434,แม่ฮ่องสอน,0.4358808965178338
2027,7121.0213460456625,37729.18203378037,33976.84597995981,137351.57532378618,29309.219385309676,245487.8440688817,306636.65416713816,แม่ฮ่องสอน,0.43284950740110656
2028,6905.567610057927,37037.12008979754,33329.72124177767,138920.22867421075,30099.04867122508,246291.686287069,310569.7208371919,แม่ฮ่องสอน,0.42985055384453214
2029,6690.113874070191,36345.05814581471,32682.596503595523,140488.88202463533,30888.87795714048,247095.52850525622,314502.78750724567,แม่ฮ่องสอน,0.426883518032527
2030,6474.660138082454,35652.99620183188,32035.47176541338,142057.53537505993,31678.707243055884,247899.37072344354,318435.8541772994,แม่ฮ่องสอน,0.4239478931133452
